Run,MAE,DA
1,2.3762306733564897,0.6
2,2.4282749349420722,0.4
3,2.059661561792547,0.4
4,2.286364512010054,0.7
5,2.1899721839211206,0.4
6,2.4184560775756836,0.4
7,2.2819504737854004,0.3
8,2.0876363840970127,0.5
9,2.3442167802290483,0.6
10,2.2999969829212534,0.5
11,2.3783793449401855,0.2
12,2.225225708701394,0.3
13,2.324210210279985,0.5
14,2.320790334181352,0.5
15,2.058501460335471,0.7
16,2.2291563640941274,0.5
17,2.3290129141374067,0.6
18,2.458386464552446,0.5
19,2.2223027402704414,0.4
20,2.3754901452498003,0.4
21,2.1632055802778765,0.6
22,2.3732616251165215,0.3
23,2.787129142067649,0.2
24,2.3910730101845483,0.5
25,2.4031258929859507,0.5
26,1.8759392391551624,0.6
27,2.1466117338700728,0.5
28,2.2148580984635786,0.4
29,2.349371541630138,0.4
30,1.8151402039961382,0.6
31,2.30671028657393,0.4
32,2.3791208267211914,0.4
33,2.376705126328902,0.6
34,2.1123280091719194,0.4
35,2.6770828420465644,0.1
36,2.6531406315890225,0.2
37,2.358861663124778,0.4
38,1.9710689457980068,0.5
39,2.172699884934859,0.4
40,2.209644837812944,0.3
