"","Model","MAE","RMSE","DR"
"1","Metrics_M1",2.35905503583079,3.22378361137767,0.4
"2","Metrics_M2",2.61850919331019,3.15441526782176,0.5
"3","Metrics_M3",2.88419929928385,3.54080870823593,0.5
"4","Metrics_M4",6.95154545454545,7.63039051187004,0.5
"5","Metrics_M5",6.96172727272727,7.6260114023709,0.5
"6","Metrics_M6",4.79845454545455,5.22228045798176,0.5
"7","Metrics_M7",3.49979555701511,4.47120303314282,0.2
"8","Metrics_M8",3.1059329096877,4.09332304799727,0.5
"9","Metrics_M9",17.2473693188799,48.9376803590204,0.5
"10","Metrics_M10",2.41181818181818,3.30391093320408,0.6
"11","Metrics_M11",2.41609090909091,3.28634949449994,0.2
"12","Metrics_M12",3.805,4.616337794872,0.5
"13","Metrics_M13",2.22703766960782,3.0276021368011,0.4
"14","Metrics_M14",2.39661228918823,3.15608199614265,0.7
"15","Metrics_M15",3.11683161225473,3.65753507757285,0.7
"16","Metrics_M1",2.35905503583079,3.22378361137767,0.4
"17","Metrics_M2",2.61850919331019,3.15441526782176,0.5
"18","Metrics_M3",2.88419929928385,3.54080870823593,0.5
"19","Metrics_M4",6.95154545454545,7.63039051187004,0.5
"20","Metrics_M5",6.96172727272727,7.6260114023709,0.5
"21","Metrics_M6",4.79845454545455,5.22228045798176,0.5
"22","Metrics_M7",3.49979555701511,4.47120303314282,0.2
"23","Metrics_M8",3.1059329096877,4.09332304799727,0.5
"24","Metrics_M9",17.2473693188799,48.9376803590204,0.5
"25","Metrics_M10",2.41181818181818,3.30391093320408,0.6
"26","Metrics_M11",2.41609090909091,3.28634949449994,0.2
"27","Metrics_M12",3.805,4.616337794872,0.5
"28","Metrics_M13",2.22703766960782,3.0276021368011,0.4
"29","Metrics_M14",2.39661228918823,3.15608199614265,0.7
"30","Metrics_M15",3.11683161225473,3.65753507757285,0.7
