"","Model","MAE","RMSE","DR"
"1","Metrics_M1",2.35905503583079,3.22378361137767,0.4
"2","Metrics_M2",2.61850919331019,3.15441526782176,0.5
"3","Metrics_M3",2.88419929928385,3.54080870823593,0.5
"4","Metrics_M4",2.27007357063883,3.05521393503319,0.3
"5","Metrics_M5",6.64829701680087,7.3598003265374,0.6
"6","Metrics_M6",3.31487588863935,4.48817113433328,0.5
"7","Metrics_M7",3.31487588863935,4.48817113433328,0.5
"8","Metrics_M8",3.31487588863935,4.48817113433328,0.5
"9","Metrics_M9",3.31487588863935,4.48817113433328,0.5
"10","Metrics_M10",2.38718181818182,3.27360772626388,0.5
"11","Metrics_M11",2.43336363636364,3.30818548177368,0.4
"12","Metrics_M12",3.81790909090909,4.63043126795688,0.4
"13","Metrics_M13",2.2208058233649,3.00065942139044,0.6
"14","Metrics_M14",2.44073690393606,3.24104414647107,0.7
"15","Metrics_M15",3.00932798499181,3.6428647189451,0.7
