"","Obs_t_1","NINA1_avg_t_1","NINA1_std_t_1","year","target","time","OLR","ESPI.x","z500_std","YYYY","seasonal","trend","remainder","stl_r","stl_t","stl_s","...1.y","soi_long_y","pna_y","nina3_y_anom","oni","ESPI.y","z500_std_t_1"
"1",7,23.6111111111111,1.32463281075675,1982,2,2,389.5,11.688,-1.79,1982,-1.08285714285714,NA,NA,-0.583658243562766,4.86473827213637,-2.28108002857361,4,-1.45,-0.358333333333333,0.985833333333333,1.00833333333333,11.688,-1.43
"2",2,24.6844444444444,2.68881053317881,1983,3,3,468.5,6.67864,11.6,1983,-0.850714285714286,4.8,-0.949285714285715,-1.00524989591513,4.86235730937141,-0.857107413456283,5,-0.948333333333333,0.724166666666667,0.906666666666667,0.475,6.67864,-1.79
"3",3,22.0955555555556,1.86691962571742,1984,5,4,638.2,-12.43343,-11.04,1984,-0.725714285714286,4.2,1.52571428571429,0.107492482877233,4.88355428508706,0.00895323203570571,6,-0.1375,-0.165,-0.6675,-0.491666666666667,-12.43343,11.6
"4",5,21.6344444444444,1.94424506914352,1985,7,5,580,-6.99321,-10.73,1985,2.99928571428571,4.4,-0.399285714285714,-0.745895794889023,4.90475126080271,2.84114453408631,7,-0.0175,-0.429166666666667,-0.929166666666667,-0.6,-6.99321,-11.04
"5",7,22.4833333333333,1.7804860447517,1986,4,6,473.6,-2.34024,-5.43,1986,-0.34,4.8,-0.460000000000001,-1.20939902059167,4.97114077144886,0.238258249142816,8,-0.3225,0.095,-0.0475,0.241666666666667,-2.34024,-10.73
"6",4,23.6633333333333,2.10276058630871,1987,3,7,240.5,14.78336,12.53,1987,-1.08285714285714,5.2,-1.11714285714286,0.227661209044016,5.037530282095,-2.26519149113902,9,-1.4775,0.273333333333333,1.0875,1.275,14.78336,-5.43
"7",3,21.5422222222222,2.30072573091381,1988,5,8,628.8,-8.61034,4.21,1988,-0.850714285714286,5.4,0.450714285714287,0.522861599168599,5.13924946737141,-0.662111066540006,10,0.736666666666667,0.513333333333333,-1.11166666666667,-0.816666666666667,-8.61034,12.53
"8",5,22.1066666666667,2.1336139138404,1989,7,9,629.9,-5.49487,-13.82,1989,-0.725714285714286,5.4,2.32571428571429,1.88777863491515,5.24096865264781,-0.12874728756296,11,0.616666666666667,-0.655833333333333,-0.661666666666667,-0.608333333333333,-5.49487,4.21
"9",7,22.0766666666667,2.08780769522057,1990,8,10,414.8,3.40572,3.16,1990,2.99928571428571,5.6,-0.599285714285714,-0.190210336632465,5.29797305803114,2.89223727860133,12,-0.325833333333333,-0.726666666666667,-0.06,0.308333333333333,3.40572,-13.82
"10",8,22.9377777777778,1.62505448626602,1991,4,11,379.9,8.0794,2.09,1991,-0.34,5.4,-1.06,-1.21929339806875,5.35497746341446,-0.135684065345715,13,-1.01333333333333,-0.155,0.445833333333333,0.641666666666667,8.0794,3.16
